# Chord chart at 136.00 BPM, half-bar resolution
# Key: C# minor
# Beat 1 phase-aligned at t=0.000s


[Section 1]  (0.0-57.8s)
    0.00s  |  Dmaj7
    0.88s  |  Dmaj7
    1.76s  |  Dmaj7
    2.65s  |  Emaj7
    3.53s  |  Dmaj7
    4.41s  |  Dmaj7
    5.29s  |  Emaj7
    6.18s  |  Emaj7
    7.06s  |  Dmaj7
    7.94s  |  Dmaj7
    8.82s  |  Dmaj7
    9.71s  |  Emaj7
   10.59s  |  Dmaj7
   11.47s  |  Dmaj7
   12.35s  |  Emaj7
   13.24s  |  Emaj7
   14.12s  |  Dmaj7
   15.00s  |  Dmaj7
   15.88s  |  Dmaj7
   16.76s  |  Emaj7
   17.65s  |  Dmaj7
   18.53s  |  Dmaj7
   19.41s  |  Emaj7
   20.29s  |  Emaj7
   21.18s  |  Dmaj7
   22.06s  |  Dmaj7
   22.94s  |  Dmaj7
   23.82s  |  Emaj7
   24.71s  |  F#m7
   25.59s  |  F#m7
   26.47s  |  Emaj7
   27.35s  |  Emaj7
   28.24s  |  Dadd9
   29.12s  |  Dadd9
   30.00s  |  Dadd9
   30.88s  |  Dadd9
   31.76s  |  Dadd9
   32.65s  |  Dadd9
   33.53s  |  Dadd9
   34.41s  |  Emaj7
   35.29s  |  Bm7
   36.18s  |  Aadd9
   37.06s  |  F#sus2
   37.94s  |  Gadd9
   38.82s  |  Dmaj7
   39.71s  |  Dmaj7
   40.59s  |  Emaj7
   41.47s  |  Emaj7
   42.35s  |  Dadd9
   43.24s  |  Dadd9
   44.12s  |  Dadd9
   45.00s  |  Dadd9
   45.88s  |  Dadd9
   46.76s  |  Dadd9
   47.65s  |  Eadd9
   48.53s  |  Eadd9
   49.41s  |  Eadd9
   50.29s  |  Aadd9
   51.18s  |  Amaj7
   52.06s  |  Gmaj7
   52.94s  |  Gmaj7
   53.82s  |  Dmaj7
   54.71s  |  C#m7
   55.59s  |  C#m7
   56.47s  |  C#m7
   57.35s  |  C#m7

[Section 2]  (57.8-64.5s)
   58.24s  |  C#m7
   59.12s  |  G#m7
   60.00s  |  C#m7
   60.88s  |  C#m7
   61.77s  |  C#m7
   62.65s  |  C#m7
   63.53s  |  C#m7
   64.41s  |  C#m7

[Section 3]  (64.5-76.4s)
   65.29s  |  C#m7
   66.18s  |  G#m7
   67.06s  |  G#m7
   67.94s  |  C#m7
   68.82s  |  C#m7
   69.71s  |  Badd9
   70.59s  |  Badd9
   71.47s  |  C#m7
   72.35s  |  C#m7
   73.24s  |  G#m7
   74.12s  |  G#m7
   75.00s  |  C#m7
   75.88s  |  C#m7

[Section 4]  (76.4-78.7s)
   76.77s  |  C#m7
   77.65s  |  C#m7
   78.53s  |  C#m7

[Section 5]  (78.7-100.9s)
   79.41s  |  C#m7
   80.29s  |  G#m7
   81.18s  |  G#m7
   82.06s  |  C#m7
   82.94s  |  C#m7
   83.82s  |  Badd9
   84.71s  |  Badd9
   85.59s  |  C#m7
   86.47s  |  C#m7
   87.35s  |  G#m7
   88.24s  |  G#m7
   89.12s  |  C#m
   90.00s  |  C#m
   90.88s  |  C#m
   91.77s  |  C#m
   92.65s  |  C#m
   93.53s  |  D#m7
   94.41s  |  G#m7
   95.29s  |  G#m7
   96.18s  |  C#m7
   97.06s  |  C#m7
   97.94s  |  Badd9
   98.82s  |  Badd9
   99.71s  |  C#sus2
  100.59s  |  C#sus2

[Section 6]  (100.9-128.0s)
  101.47s  |  C#sus2
  102.35s  |  C#sus2
  103.24s  |  C#maj7
  104.12s  |  C#maj7
  105.00s  |  C#maj7
  105.88s  |  C#maj7
  106.77s  |  C#maj7
  107.65s  |  C#maj7
  108.53s  |  G#m7
  109.41s  |  G#m7
  110.29s  |  C#maj7
  111.18s  |  C#maj7
  112.06s  |  F#add9
  112.94s  |  F#add9
  113.82s  |  F#add9
  114.71s  |  G#maj7
  115.59s  |  G#maj7
  116.47s  |  G#maj7
  117.35s  |  C#
  118.24s  |  F#add9
  119.12s  |  C#maj7
  120.00s  |  C#maj7
  120.88s  |  C#maj7
  121.77s  |  G#maj7
  122.65s  |  G#maj7
  123.53s  |  G#maj7
  124.41s  |  C#maj7
  125.29s  |  C#maj7
  126.18s  |  F#maj7
  127.06s  |  F#maj7
